country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date,lat,lon
Brazil,PB,Alagoa Nova/PB,2500403,25003,3ª Região,20,1221,95.59772,5836.2411,0.01638,MS,2021-07-14,23,0,2021-07-14,-7.0653703,-35.76695977336711
Brazil,MG,Alagoa/MG,3101300,31008,São Lourenço,6,444,225.14071,16660.41276,0.01351,MS,2021-07-14,0,0,2021-07-14,-22.1697202,-44.6400042
Brazil,PI,Alagoinha do Piauí/PI,2200251,22009,Vale do Rio Guaribas,10,360,130.46314,4696.67319,0.02778,MS,2021-07-14,0,0,2021-07-14,-7.0090952,-40.939675
Brazil,PB,Alagoinha/PB,2500502,25002,2ª Região,24,2038,164.83516,13997.25275,0.01178,MS,2021-07-14,7,0,2021-07-14,-6.97063215,-35.51490901897793
Brazil,PE,Alagoinha/PE,2600609,26003,Caruaru,25,1290,169.86004,8764.77782,0.01938,MS,2021-07-14,3,0,2021-07-14,-8.50355635,-36.77701174370496
Brazil,BA,Alagoinhas/BA,2900702,29001,Alagoinhas,297,14035,194.97528,9213.73099,0.02116,MS,2021-07-14,25,2,2021-07-14,-12.133526,-38.420772
Brazil,SP,Alambari/SP,3500758,35161,Itapetininga,11,597,179.47463,9740.57758,0.01843,MS,2021-07-14,3,1,2021-07-14,-23.550338,-47.897971
Brazil,MG,Albertina/MG,3101409,31006,Poços de Caldas,9,243,298.90402,8070.4085,0.03704,MS,2021-07-14,1,0,2021-07-14,-20.66164,-43.784039
Brazil,PB,Alcantil/PB,2500536,25015,15ª Região,6,537,108.91269,9747.68561,0.01117,MS,2021-07-14,3,0,2021-07-14,-7.7425491,-36.0609604
Brazil,MS,Alcinópolis/MS,5000252,50001,Campo Grande,9,354,166.14362,6534.98246,0.02542,MS,2021-07-14,-1,0,2021-07-14,-18.3264121,-53.7094463
Brazil,BA,Alcobaça/BA,2900801,29026,Teixeira de Freitas,29,1527,128.9462,6789.6843,0.01899,MS,2021-07-14,0,0,2021-07-14,-17.5215875,-39.1965474
Brazil,MA,Alcântara/MA,2100204,21016,São Luís,19,323,85.92619,1460.7453,0.05882,MS,2021-07-14,7,1,2021-07-14,-2.4038956,-44.4154241
Brazil,CE,Alcântaras/CE,2300507,23011,11ª Região Sobral,22,1730,186.74136,14684.66174,0.01272,MS,2021-07-14,3,0,2021-07-14,-3.586247,-40.5457641
Brazil,MA,Aldeias Altas/MA,2100303,21005,Caxias,14,976,52.32276,3647.64361,0.01434,MS,2021-07-14,0,0,2021-07-14,-4.6291957,-43.4708622
Brazil,RS,Alecrim/RS,4300307,43014,Região 14 - Fronteira Noroeste,12,311,205.93788,5337.22327,0.03859,MS,2021-07-14,0,0,2021-07-14,-27.6566142,-54.7653195
Brazil,ES,Alegre/ES,3200201,32004,Sul,56,2569,186.82235,8570.4754,0.0218,MS,2021-07-14,4,0,2021-07-14,-20.7625787,-41.5318886
Brazil,PI,Alegrete do Piauí/PI,2200277,22009,Vale do Rio Guaribas,6,512,122.00081,10410.73607,0.01172,MS,2021-07-14,0,0,2021-07-14,-7.2440138,-40.8602296
Brazil,RS,Alegrete/RS,4300406,43003,Região 03 - Fronteira Oeste,280,10188,383.41458,13950.81339,0.02748,MS,2021-07-14,189,1,2021-07-14,-29.790166,-55.794862
Brazil,RS,Alegria/RS,4300455,43014,Região 14 - Fronteira Noroeste,3,393,88.91523,11647.89567,0.00763,MS,2021-07-14,1,0,2021-07-14,-27.8332103,-54.0574959
Brazil,PA,Alenquer/PA,1500404,15002,Baixo Amazonas,138,3539,241.71513,6198.7669,0.03899,MS,2021-07-14,0,0,2021-07-14,-1.946229,-54.738355
Brazil,RN,Alexandria/RN,2400505,24006,6ª Região de Saúde - Pau dos Ferros,28,1726,206.59633,12735.18778,0.01622,MS,2021-07-14,21,1,2021-07-14,-6.414779,-38.0135516
Brazil,GO,Alexânia/GO,5200308,52011,Pirineus,80,3154,285.61228,11260.26419,0.02536,MS,2021-07-14,0,0,2021-07-14,-16.0834049,-48.5077803
Brazil,MG,Alfenas/MG,3101607,31001,Alfenas / Machado,179,9701,222.37682,12051.82995,0.01845,MS,2021-07-14,55,1,2021-07-14,-21.4297405,-45.9479419
Brazil,ES,Alfredo Chaves/ES,3200300,32004,Sul,35,2445,239.13638,16705.38398,0.01431,MS,2021-07-14,1,0,2021-07-14,-20.624970400000002,-40.75006690147988
Brazil,SP,Alfredo Marcondes/SP,3500808,35112,Alta Sorocabana,12,250,286.80688,5975.1434,0.048,MS,2021-07-14,0,0,2021-07-14,-21.9527,-51.413956
Brazil,MG,Alfredo Vasconcelos/MG,3101631,31013,Barbacena,13,564,186.21974,8079.07177,0.02305,MS,2021-07-14,8,0,2021-07-14,-21.145833,-43.776389
Brazil,SC,Alfredo Wagner/SC,4200705,42007,Grande Florianópolis,7,1046,69.40313,10370.81103,0.00669,MS,2021-07-14,37,0,2021-07-14,-27.6961513,-49.3326734
Brazil,PB,Algodão de Jandaíra/PB,2500577,25003,3ª Região,1,221,38.80481,8575.86341,0.00452,MS,2021-07-14,0,0,2021-07-14,-6.9040175,-36.0089879
Brazil,PB,Alhandra/PB,2500601,25001,1ª Região Mata Atlântica,36,2350,182.491,11912.60709,0.01532,MS,2021-07-14,5,0,2021-07-14,-7.4304246,-34.9106103
Brazil,TO,Aliança do Tocantins/TO,1700350,17005,Ilha do Bananal,20,631,374.11149,11803.21736,0.0317,MS,2021-07-14,3,0,2021-07-14,-11.3055927,-48.9409096
Brazil,PE,Aliança/PE,2600708,26005,Goiana,60,656,156.26221,1708.46681,0.09146,MS,2021-07-14,3,0,2021-07-14,-7.60398,-35.222696
Brazil,BA,Almadina/BA,2900900,29012,Itabuna,9,633,167.7227,11796.49646,0.01422,MS,2021-07-14,0,0,2021-07-14,-14.70466,-39.6381994
Brazil,TO,Almas/TO,1700400,17003,Sudeste,5,236,71.6435,3381.57329,0.02119,MS,2021-07-14,0,0,2021-07-14,-11.5681309,-47.1702803
Brazil,PA,Almeirim/PA,1500503,15002,Baixo Amazonas,44,3692,129.12314,10834.605,0.01192,MS,2021-07-14,0,0,2021-07-14,-1.5290377,-52.5788111
Brazil,MG,Almenara/MG,3101706,31094,Almenara/Jacinto,46,4185,109.15217,9930.47481,0.01099,MS,2021-07-14,0,0,2021-07-14,-16.1740678,-40.6904907
Brazil,RN,Almino Afonso/RN,2400604,24006,6ª Região de Saúde - Pau dos Ferros,13,507,276.00849,10764.33121,0.02564,MS,2021-07-14,0,0,2021-07-14,-6.1544208,-37.7649018
Brazil,RS,Almirante Tamandaré do Sul/RS,4300471,43017,Região 17 - Planalto,5,327,256.54182,16777.83479,0.01529,MS,2021-07-14,0,0,2021-07-14,-28.1141129,-52.9134874
Brazil,PR,Almirante Tamandaré/PR,4100400,41002,2ª RS Metropolitana,368,10146,306.56192,8452.1122,0.03627,SES,2021-07-14,28,3,2021-07-14,-25.3133048,-49.2997838
Brazil,GO,Aloândia/GO,5200506,52017,Sul,10,283,503.52467,14249.74824,0.03534,MS,2021-07-14,0,0,2021-07-14,-17.7277983,-49.4809338
