GEOCODIGO_MUNICIPIO,NOME_MUNICIPIO,LONGITUDE,LATITUDE
1505502,PARAGOMINAS,"-47,356962","-2,994191"
1505536,PARAUAPEBAS,"-49,900781","-6,07273"
1505551,PAU D'ARCO,"-50,048276","-7,836794"
1505601,PEIXE-BOI,"-47,317927","-1,189569"
1505635,PIÇARRA,"-48,868401","-6,453676"
1505650,PLACAS,"-54,216968","-3,867316"
1505700,PONTA DE PEDRAS,"-48,871786","-1,3966"
1505809,PORTEL,"-50,82249","-1,936451"
1505908,PORTO DE MOZ,"-52,242477","-1,74609"
1506005,PRAINHA,"-53,481814","-1,805695"
1506104,PRIMAVERA,"-47,117251","-0,940112"
1506112,QUATIPURU,"-47,006787","-0,900116"
1506138,REDENÇÃO,"-50,029642","-8,027605"
1506161,RIO MARIA,"-50,046411","-7,311115"
1506187,RONDON DO PARÁ,"-48,069974","-4,777822"
1506195,RURÓPOLIS,"-54,905862","-4,099065"
1506203,SALINÓPOLIS,"-47,35312","-0,623638"
1506302,SALVATERRA,"-48,513187","-0,754526"
1506351,SANTA BÁRBARA DO PARÁ,"-48,297741","-1,229439"
1506401,SANTA CRUZ DO ARARI,"-49,171616","-0,659974"
1506500,SANTA ISABEL DO PARÁ,"-48,16306","-1,297396"
1506559,SANTA LUZIA DO PARÁ,"-46,906169","-1,518828"
1506583,SANTA MARIA DAS BARREIRAS,"-49,719352","-8,870551"
1506609,SANTA MARIA DO PARÁ,"-47,574695","-1,347866"
1506708,SANTANA DO ARAGUAIA,"-50,344804","-9,329425"
1506807,SANTARÉM,"-54,71857","-2,436213"
1506906,SANTARÉM NOVO,"-47,400925","-0,92872"
1507003,SANTO ANTÔNIO DO TAUÁ,"-48,132433","-1,151693"
1507102,SÃO CAETANO DE ODIVELAS,"-48,025805","-0,746618"
1507151,SÃO DOMINGOS DO ARAGUAIA,"-48,720373","-5,549841"
1507201,SÃO DOMINGOS DO CAPIM,"-47,774785","-1,675815"
1507300,SÃO FÉLIX DO XINGU,"-51,993783","-6,642483"
1507409,SÃO FRANCISCO DO PARÁ,"-47,790515","-1,170189"
1507458,SÃO GERALDO DO ARAGUAIA,"-48,555712","-6,398958"
1507466,SÃO JOÃO DA PONTA,"-47,920724","-0,851002"
1507474,SÃO JOÃO DE PIRABAS,"-47,172674","-0,766443"
1507508,SÃO JOÃO DO ARAGUAIA,"-48,788633","-5,359003"
1507607,SÃO MIGUEL DO GUAMÁ,"-47,482409","-1,617136"
1507706,SÃO SEBASTIÃO DA BOA VISTA,"-49,532312","-1,718851"
1507755,SAPUCAIA,"-49,703581","-6,942857"
1507805,SENADOR JOSÉ PORFÍRIO,"-51,953056","-2,59485"
1507904,SOURE,"-48,516013","-0,725926"
1507953,TAILÂNDIA,"-48,951282","-2,93708"
1507961,TERRA ALTA,"-47,907808","-1,034827"
1507979,TERRA SANTA,"-56,490905","-2,108114"
1508001,TOMÉ-AÇU,"-48,146897","-2,419367"
1508035,TRACUATEUA,"-46,899478","-1,068784"
1508050,TRAIRÃO,"-55,99617","-4,699819"
1508084,TUCUMÃ,"-51,139539","-6,749972"
1508100,TUCURUÍ,"-49,667184","-3,766889"
1508126,ULIANÓPOLIS,"-47,503145","-3,757193"
1508159,URUARÁ,"-53,737031","-3,706529"
1508209,VIGIA,"-48,141499","-0,855533"
1508308,VISEU,"-46,138765","-1,203279"
1508357,VITÓRIA DO XINGU,"-52,01126","-2,883766"
1508407,XINGUARA,"-49,942701","-7,101513"
1600055,SERRA DO NAVIO,"-52,003538","0,897841"
1600105,AMAPÁ,"-50,793214","2,053921"
1600154,PEDRA BRANCA DO AMAPARI,"-51,946594","0,776883"
1600204,CALÇOENE,"-50,944773","2,496559"
1600212,CUTIAS,"-50,801626","0,971078"
1600238,FERREIRA GOMES,"-51,187429","0,853977"
1600253,ITAUBAL,"-50,700179","0,600653"
1600279,LARANJAL DO JARI,"-52,539021","-0,855665"
1600303,MACAPÁ,"-51,057405","0,038951"
1600402,MAZAGÃO,"-51,286077","-0,124396"
1600501,OIAPOQUE,"-51,830553","3,851131"
1600535,PORTO GRANDE,"-51,414449","0,712555"
1600550,PRACUÚBA,"-50,784254","1,742508"
1600600,SANTANA,"-51,172846","-0,038373"
1600709,TARTARUGALZINHO,"-50,912786","1,509848"
1600808,VITÓRIA DO JARI,"-52,419615","-0,918977"
1700251,ABREULÂNDIA,"-49,162438","-9,621791"
1700301,AGUIARNÓPOLIS,"-47,470457","-6,547171"
1700350,ALIANÇA DO TOCANTINS,"-48,94124","-11,303743"
1700400,ALMAS,"-47,174172","-11,574523"
1700707,ALVORADA,"-49,126811","-12,478815"
1701002,ANANÁS,"-48,079765","-6,362818"
1701051,ANGICO,"-47,862078","-6,387753"
1701101,APARECIDA DO RIO NEGRO,"-47,97667","-9,955878"
1701309,ARAGOMINAS,"-48,52343","-7,164349"
1701903,ARAGUACEMA,"-49,561813","-8,801803"
1702000,ARAGUAÇU,"-49,828612","-12,925584"
1702109,ARAGUAÍNA,"-48,208705","-7,191329"
1702158,ARAGUANÃ,"-48,64375","-6,582249"
1702208,ARAGUATINS,"-48,123507","-5,650586"
1702307,ARAPOEMA,"-49,075637","-7,65257"
1702406,ARRAIAS,"-46,946107","-12,93442"
1702554,AUGUSTINÓPOLIS,"-47,880957","-5,465414"
1702703,AURORA DO TOCANTINS,"-46,407083","-12,70849"
1702901,AXIXÁ DO TOCANTINS,"-47,774156","-5,624309"
1703008,BABAÇULÂNDIA,"-47,758816","-7,201865"
1703057,BANDEIRANTES DO TOCANTINS,"-48,578381","-7,764859"
1703073,BARRA DO OURO,"-47,687135","-7,691767"
1703107,BARROLÂNDIA,"-48,731461","-9,831653"
1703206,BERNARDO SAYÃO,"-48,899054","-7,868512"
1703305,BOM JESUS DO TOCANTINS,"-48,16638","-8,963348"
1703602,BRASILÂNDIA DO TOCANTINS,"-48,485374","-8,384889"
1703701,BREJINHO DE NAZARÉ,"-48,55866","-11,010805"
1703800,BURITI DO TOCANTINS,"-48,22325","-5,313539"
1703826,CACHOEIRINHA,"-47,914198","-6,113242"
1703842,CAMPOS LINDOS,"-46,801974","-7,971681"
1703867,CARIRI DO TOCANTINS,"-49,171041","-11,888997"
1703883,CARMOLÂNDIA,"-48,39596","-7,031479"
1703891,CARRASCO BONITO,"-48,030633","-5,322661"
1703909,CASEARA,"-49,948692","-9,267406"
1704105,CENTENÁRIO,"-47,338399","-8,958464"
1704600,CHAPADA DE AREIA,"-49,183108","-10,141989"
1705102,CHAPADA DA NATIVIDADE,"-47,753905","-11,624268"
1705508,COLINAS DO TOCANTINS,"-48,481595","-8,054625"
1705557,COMBINADO,"-46,552072","-12,818608"
1705607,CONCEIÇÃO DO TOCANTINS,"-47,292869","-12,217278"
1706001,COUTO MAGALHÃES,"-49,176572","-8,355118"
1706100,CRISTALÂNDIA,"-49,1863","-10,590725"
1706258,CRIXÁS DO TOCANTINS,"-48,915514","-11,104274"
1706506,DARCINÓPOLIS,"-47,752161","-6,712351"
1707009,DIANÓPOLIS,"-46,820409","-11,625232"
1707108,DIVINÓPOLIS DO TOCANTINS,"-49,205413","-9,795301"
1707207,DOIS IRMÃOS DO TOCANTINS,"-49,067339","-9,261297"
1707306,DUERÉ,"-49,265876","-11,341285"
1707405,ESPERANTINA,"-48,544148","-5,366608"
1707553,FÁTIMA,"-48,898983","-10,752509"
1707652,FIGUEIRÓPOLIS,"-49,173847","-12,13678"
1707702,FILADÉLFIA,"-47,484964","-7,337612"
1708205,FORMOSO DO ARAGUAIA,"-49,52686","-11,805142"
1708254,FORTALEZA DO TABOCÃO,"-48,517426","-9,058965"
1708304,GOIANORTE,"-48,93689","-8,770521"
1709005,GOIATINS,"-47,315435","-7,709172"
1709302,GUARAÍ,"-48,508641","-8,836166"
1709500,GURUPI,"-49,071477","-11,729772"
1709807,IPUEIRAS,"-48,451926","-11,246289"
1710508,ITACAJÁ,"-47,768112","-8,390981"
1710706,ITAGUATINS,"-47,479936","-5,775385"
1710904,ITAPIRATINS,"-48,1112","-8,38433"
1711100,ITAPORÃ DO TOCANTINS,"-48,693264","-8,568829"
1711506,JAÚ DO TOCANTINS,"-48,594608","-12,652926"
1711803,JUARINA,"-49,098643","-8,117424"
1711902,LAGOA DA CONFUSÃO,"-49,620085","-10,788696"
1711951,LAGOA DO TOCANTINS,"-47,561447","-10,296887"
1712009,LAJEADO,"-48,358504","-9,744682"
1712157,LAVANDEIRA,"-46,506676","-12,791659"
1712405,LIZARDA,"-46,675165","-9,59457"
1712454,LUZINÓPOLIS,"-47,856828","-6,19399"
1712504,MARIANÓPOLIS DO TOCANTINS,"-49,651034","-9,79888"
1712702,MATEIROS,"-46,412466","-10,544429"
1712801,MAURILÂNDIA DO TOCANTINS,"-47,50488","-5,952566"
1713205,MIRACEMA DO TOCANTINS,"-48,387991","-9,568346"
1713304,MIRANORTE,"-48,592632","-9,517405"
1713601,MONTE DO CARMO,"-48,11042","-10,763542"
1713700,MONTE SANTO DO TOCANTINS,"-48,990891","-10,005591"
1713809,PALMEIRAS DO TOCANTINS,"-47,558684","-6,611862"
1713957,MURICILÂNDIA,"-48,606745","-7,138519"
1714203,NATIVIDADE,"-47,727258","-11,705357"
1714302,NAZARÉ,"-47,666977","-6,372558"
1714880,NOVA OLINDA,"-48,424807","-7,633315"
1715002,NOVA ROSALÂNDIA,"-48,906181","-10,566871"
1715101,NOVO ACORDO,"-47,668148","-9,968486"
1715150,NOVO ALEGRE,"-46,577297","-12,909939"
1715259,NOVO JARDIM,"-46,630787","-11,815875"
1715507,OLIVEIRA DE FÁTIMA,"-48,907402","-10,708363"
1715705,PALMEIRANTE,"-47,93425","-7,857561"
1715754,PALMEIRÓPOLIS,"-48,413414","-13,039888"
1716109,PARAÍSO DO TOCANTINS,"-48,88663","-10,171221"
1716208,PARANÃ,"-47,884084","-12,620481"
1716307,PAU D'ARCO,"-49,363306","-7,539998"
1716505,PEDRO AFONSO,"-48,177556","-8,96445"
1716604,PEIXE,"-48,537811","-12,029774"
1716653,PEQUIZEIRO,"-48,93518","-8,593341"
1716703,COLMÉIA,"-48,757067","-8,729372"
1717008,PINDORAMA DO TOCANTINS,"-47,575688","-11,138203"
1717206,PIRAQUÊ,"-48,293707","-6,769777"
1717503,PIUM,"-49,166658","-10,440931"
1717800,PONTE ALTA DO BOM JESUS,"-46,469587","-12,087813"
1717909,PONTE ALTA DO TOCANTINS,"-47,54118","-10,740673"
1718006,PORTO ALEGRE DO TOCANTINS,"-47,047426","-11,607259"
1718204,PORTO NACIONAL,"-48,412153","-10,70857"
1718303,PRAIA NORTE,"-47,814732","-5,396713"
1718402,PRESIDENTE KENNEDY,"-48,504331","-8,529961"
1718451,PUGMIL,"-48,89422","-10,424307"
1718501,RECURSOLÂNDIA,"-47,238041","-8,73536"
1718550,RIACHINHO,"-48,141046","-6,442211"
1718659,RIO DA CONCEIÇÃO,"-46,8804","-11,40494"
1718709,RIO DOS BOIS,"-48,533048","-9,343742"
1718758,RIO SONO,"-47,899942","-9,347789"
1718808,SAMPAIO,"-47,875792","-5,349296"
1718840,SANDOLÂNDIA,"-49,933388","-12,5416"
1718865,SANTA FÉ DO ARAGUAIA,"-48,693942","-7,149936"
1718881,SANTA MARIA DO TOCANTINS,"-47,74527","-8,774976"
1718899,SANTA RITA DO TOCANTINS,"-48,909294","-10,866455"
1718907,SANTA ROSA DO TOCANTINS,"-48,119954","-11,451404"
1719004,SANTA TEREZA DO TOCANTINS,"-47,806288","-10,282362"
1720002,SANTA TEREZINHA DO TOCANTINS,"-47,684285","-6,436998"
1720101,SÃO BENTO DO TOCANTINS,"-47,919392","-6,044999"
1720150,SÃO FÉLIX DO TOCANTINS,"-46,654981","-10,173286"
1720200,SÃO MIGUEL DO TOCANTINS,"-47,573002","-5,55382"
1720259,SÃO SALVADOR DO TOCANTINS,"-48,232085","-12,747433"
1720309,SÃO SEBASTIÃO DO TOCANTINS,"-48,203834","-5,258961"
1720499,SÃO VALÉRIO,"-48,232948","-11,973067"
1720655,SILVANÓPOLIS,"-48,179824","-11,149861"
1720804,SÍTIO NOVO DO TOCANTINS,"-47,637423","-5,604727"
1720853,SUCUPIRA,"-48,911126","-11,986222"
1720903,TAGUATINGA,"-46,438732","-12,396142"
1720937,TAIPAS DO TOCANTINS,"-46,984572","-12,192837"
1720978,TALISMÃ,"-49,091118","-12,787538"
1721000,PALMAS,"-48,351044","-10,163253"
1721109,TOCANTÍNIA,"-48,37588","-9,558148"
1721208,TOCANTINÓPOLIS,"-47,427413","-6,325634"
1721257,TUPIRAMA,"-48,206685","-8,98057"
1721307,TUPIRATINS,"-48,122996","-8,39553"
1722081,WANDERLÂNDIA,"-47,956268","-6,850126"
1722107,XAMBIOÁ,"-48,531601","-6,411885"
2100055,AÇAILÂNDIA,"-47,506665","-4,951377"
2100105,AFONSO CUNHA,"-43,320869","-4,135015"
2100154,ÁGUA DOCE DO MARANHÃO,"-42,115551","-2,840278"
2100204,ALCÂNTARA,"-44,417013","-2,403277"
2100303,ALDEIAS ALTAS,"-43,468735","-4,630779"
2100402,ALTAMIRA DO MARANHÃO,"-45,464676","-4,162269"
2100436,ALTO ALEGRE DO MARANHÃO,"-44,448247","-4,207227"
2100477,ALTO ALEGRE DO PINDARÉ,"-45,84208","-3,66517"
2100501,ALTO PARNAÍBA,"-45,927344","-9,108366"
2100550,AMAPÁ DO MARANHÃO,"-46,00918","-1,680921"
2100600,AMARANTE DO MARANHÃO,"-46,750638","-5,557662"
2100709,ANAJATUBA,"-44,62067","-3,257555"
2100808,ANAPURUS,"-43,105793","-3,667035"
2100832,APICUM-AÇU,"-45,076652","-1,530592"
2100873,ARAGUANÃ,"-45,668794","-2,949126"
2100907,ARAIOSES,"-41,899139","-2,889256"
2100956,ARAME,"-46,013636","-4,886082"
2101004,ARARI,"-44,778835","-3,459171"
2101103,AXIXÁ,"-44,054586","-2,837797"
2101202,BACABAL,"-44,781556","-4,231525"
2101251,BACABEIRA,"-44,315423","-2,985825"
2101301,BACURI,"-45,137349","-1,724046"
